Application_ID,Current City,Python (out of 3),R Programming (out of 3),Data Science (out of 3),Other skills,Institute,Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10,True_Y,pred_Y
DS0001,Bangalore,1,0,3,"Machine Learning, Arduino, C Programming, CSS, Data Analytics, Data Structures, Deep Learning, HTML, Natural Language Processing (NLP), MATLAB, Python",Global Academy of Technology,Bachelor of Engineering (B.E),Electrical and Electronics Engineering,2019,,7.73/10,,,1,0
DS0002,Mumbai,2,1,2,"AutoCAD, MS-Office, Machine Learning, Microsoft Azure, MySQL, Python, SolidWorks, Deep Learning, R Programming","Aegis School Of Business, Data Science, Cyber Security And Telecommunication",,PGP,2020,,68.00/100,,,0,0
DS0003,Mumbai,2,0,0,"C++ Programming, Data Structures, Image Processing, Python","VJTI, Mumbai",Bachelor of Technology (B.Tech),Information Systems,2018,,8.85/10,91.40/91.40,9.40/9.40,0,0
DS0004,Dhanbad,2,0,2,"Algorithms, C++ Programming, Data Structures, Natural Language Processing (NLP), CSS, Computer Vision, Deep Learning, HTML, Java, Machine Learning, MySQL, Python, Android",IIT (ISM) Dhanbad,Integrated M.Tech,Mathematics and Computing,2021,,8.40/10,91.80/91.80,10.00/10.00,0,0
DS0005,Bangalore,2,0,0,"MS-Word, Python, SQL, MS-Excel",Vvce,Bachelor of Engineering (B.E),Electronics and Communication,2018,,,,,0,0
DS0006,Kharagpur,2,2,0,"C Programming, C++ Programming, CSS, GitHub, HTML, MS-Office, Python, R Programming, SQL, JavaScript, STATA",Indian Institute Of Technology Kharagpur,Bachelor of Technology (B.Tech),Manufacturing,2021,,6.25/10,,,1,1
DS0007,Pune,0,0,1,"C++ Programming, Deep Learning, Machine Learning",IIIT Pune,B.Tech (Hons.),Electronics and Communication,2021,,8.70/10,88.00/88.00,9.20/9.20,0,0
DS0008,Bangalore,2,2,0,"Natural Language Processing (NLP), Python, R Programming, SQL","Government Engineering College, Bhuj",B.Tech (Hons.),Mining,2016,,7.08/100,,,1,1
DS0009,Vellore,2,0,1,"Computer Vision, Image Processing, MySQL, OpenCV, Python, Deep Learning, Machine Learning",VIT University,Bachelor of Technology (B.Tech),Computer Science & Engineering,2022,,9.30/10,,,1,1
DS0010,Bangalore,0,0,0,"CSS, HTML, JavaScript, PostgreSQL","MS Ramaiah College Of Arts, Science And Commerce, BANGALORE",Master of Business Administration_(MBA),Marketing,2019,,69.00/100,71.10/71.10,86.50/86.50,0,0
DS0011,Bangalore,1,0,1,"English Proficiency (Spoken), MS-Excel, Data Analytics, Machine Learning, Python",CMS Business School,MBA,Business Analytics,2021,8.33/10,8.40/10,86.00/86.00,83.00/83.00,0,0
DS0012,Bangalore,1,2,2,"MS-Excel, MS-Office, SPSS, Data Science, Machine Learning, R Programming, SQL, Python","Devi Ahilya Vishwavidyalaya,Indore",Master of Science (M.Sc),Statistics,2019,,6.43/10,80.00/80.00,81.00/81.00,0,0
DS0013,Bangalore,0,0,0,"C Programming, Eclipse (IDE), Java, Database Management System (DBMS), HTML, Linux, SQL",The Oxford College of Engineering,Bachelor of Engineering (B.E),Computer Science & Engineering,2018,,,,84.00/84.00,0,0
DS0014,Bangalore,0,0,0,"AutoCAD, MS-Office, Catia, SolidWorks","SJB Institute of Technology, Bangalore",Bachelor of Engineering (B.E),Mechanical Engineering,2018,,65.00/100,91.00/91.00,9.00/9.00,0,0
DS0015,Chennai,3,0,3,"Machine Learning, Python, MySQL, Statistical Modeling, Tableau",Great Lakes Institute of Management,Post Graduate Programme (PGP),Data Science Engineering,2020,,,84.00/84.00,88.00/88.00,0,0
DS0016,Hyderabad,0,0,0,"AutoCAD, Embedded Systems, MATLAB",VVIT,Bachelor of Technology (B.Tech),Information Systems,2019,,67.20/100,,9.50/9.50,0,0
